timestamp,city,lat,lon,temperature,humidity,pressure,wind_speed,weather_description,aqi,no2,o3,pm2_5,pm10,source_file,year,month,day,hour,split
2026-04-27 12:44:06.000000,Marrakech,31.6295,-7.9811,24.98,61.0,1008.0,3.6,clear sky,3.0,0.77,94.5,12.97,53.66,raw_collecte_principale.csv,2026,4,27,12,train
2026-04-27 12:44:12.000000,Fes,34.0331,-5.0003,25.08,57.0,1008.0,4.63,clear sky,2.0,0.19,88.69,9.5,49.57,raw_collecte_principale.csv,2026,4,27,12,train
2026-04-27 13:44:20.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1008.0,4.12,scattered clouds,3.0,0.64,111.69,14.2,30.36,raw_collecte_principale.csv,2026,4,27,13,train
2026-04-27 13:44:26.000000,Rabat,34.0209,-6.8416,24.37,73.0,1008.0,2.57,scattered clouds,3.0,1.15,110.34,15.79,33.62,raw_collecte_principale.csv,2026,4,27,13,train
2026-04-27 13:44:34.000000,Marrakech,31.6295,-7.9811,25.02,61.0,1007.0,4.12,clear sky,3.0,0.29,100.63,11.37,51.83,raw_collecte_principale.csv,2026,4,27,13,train
2026-04-27 13:44:42.000000,Fes,34.0331,-5.0003,25.08,57.0,1007.0,4.63,clear sky,3.0,0.17,91.06,10.52,55.58,raw_collecte_principale.csv,2026,4,27,13,train
2026-04-27 14:44:49.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1008.0,4.12,scattered clouds,3.0,0.61,110.49,11.55,26.34,raw_collecte_principale.csv,2026,4,27,14,train
2026-04-27 14:44:57.000000,Rabat,34.0209,-6.8416,24.37,69.0,1008.0,3.09,scattered clouds,3.0,0.98,110.81,14.67,31.78,raw_collecte_principale.csv,2026,4,27,14,train
2026-04-27 14:45:03.000000,Marrakech,31.6295,-7.9811,27.02,50.0,1006.0,4.12,few clouds,3.0,0.21,102.96,7.65,33.57,raw_collecte_principale.csv,2026,4,27,14,train
2026-04-27 14:45:10.000000,Fes,34.0331,-5.0003,27.08,50.0,1006.0,4.12,broken clouds,3.0,0.15,92.95,10.47,54.52,raw_collecte_principale.csv,2026,4,27,14,train
2026-04-27 15:45:18.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1007.0,4.12,scattered clouds,3.0,0.74,109.53,10.77,23.78,raw_collecte_principale.csv,2026,4,27,15,train
2026-04-27 15:45:25.000000,Rabat,34.0209,-6.8416,24.35,64.0,1007.0,3.09,overcast clouds,3.0,1.22,109.21,14.07,29.25,raw_collecte_principale.csv,2026,4,27,15,train
2026-04-27 15:45:32.000000,Marrakech,31.6295,-7.9811,27.98,51.0,1006.0,4.63,scattered clouds,3.0,0.24,102.74,6.75,27.57,raw_collecte_principale.csv,2026,4,27,15,train
2026-04-27 15:45:39.000000,Fes,34.0331,-5.0003,26.08,50.0,1005.0,3.09,thunderstorm,2.0,0.16,93.28,9.38,48.14,raw_collecte_principale.csv,2026,4,27,15,train
2026-04-27 18:48:07.000000,Casablanca,33.5731,-7.5898,20.78,78.0,1007.0,3.09,scattered clouds,3.0,1.2,102.91,9.77,23.62,raw_collecte_principale.csv,2026,4,27,18,train
2026-04-27 18:48:14.000000,Rabat,34.0209,-6.8416,24.37,57.0,1006.0,3.6,broken clouds,2.0,3.43,99.66,15.83,28.06,raw_collecte_principale.csv,2026,4,27,18,train
2026-04-27 18:48:23.000000,Marrakech,31.6295,-7.9811,23.98,60.0,1007.0,8.23,moderate rain,2.0,0.86,97.24,7.3,23.4,raw_collecte_principale.csv,2026,4,27,18,train
2026-04-27 18:48:36.000000,Fes,34.0331,-5.0003,26.08,53.0,1005.0,2.06,thunderstorm,2.0,1.38,72.3,7.89,31.61,raw_collecte_principale.csv,2026,4,27,18,train
2026-04-27 19:48:53.000000,Casablanca,33.5731,-7.5898,20.78,78.0,1008.0,2.68,scattered clouds,2.0,1.32,99.48,9.66,23.79,raw_collecte_principale.csv,2026,4,27,19,train
2026-04-27 19:49:36.000000,Rabat,34.0209,-6.8416,22.37,68.0,1007.0,2.06,clear sky,2.0,3.9,94.25,15.35,26.86,raw_collecte_principale.csv,2026,4,27,19,train
2026-04-27 19:49:44.000000,Marrakech,31.6295,-7.9811,21.98,64.0,1009.0,6.17,moderate rain,2.0,1.14,92.53,6.93,20.62,raw_collecte_principale.csv,2026,4,27,19,train
2026-04-27 19:49:53.000000,Fes,34.0331,-5.0003,23.08,73.0,1007.0,3.09,thunderstorm,2.0,1.75,66.18,7.16,26.97,raw_collecte_principale.csv,2026,4,27,19,train
2026-04-27 20:50:01.000000,Casablanca,33.5731,-7.5898,20.01,83.0,1009.0,3.6,light rain,2.0,1.41,96.77,9.85,24.56,raw_collecte_principale.csv,2026,4,27,20,train
2026-04-27 20:50:11.000000,Rabat,34.0209,-6.8416,20.37,83.0,1008.0,1.54,clear sky,2.0,3.86,90.91,15.05,26.21,raw_collecte_principale.csv,2026,4,27,20,train
