timestamp,city,lat,lon,temperature,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,visibility,weather_main,weather_description,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,source_file
2026-04-30 18:12:03.368949,Marrakech,31.6295,-7.9811,24.98,,50.0,1014.0,2.06,,,,,broken clouds,2.0,,,0.57,96.89,,3.83,9.39,,raw_collecte_mohammed.csv
2026-04-30 18:12:03.368949,Rabat,34.0209,-6.8416,20.36,,64.0,1017.0,3.6,,,,,scattered clouds,2.0,,,2.12,92.94,,3.73,6.69,,raw_collecte_mohammed.csv
2026-04-30 19:12:13.649309,Agadir,30.4278,-9.5981,22.06,,70.0,1015.0,6.24,,,,,scattered clouds,2.0,,,0.17,95.42,,1.2,3.38,,raw_collecte_mohammed.csv
2026-04-30 19:12:13.649309,Tanger,35.7595,-5.834,18.74,,68.0,1016.0,3.09,,,,,clear sky,3.0,,,0.82,110.56,,2.36,5.91,,raw_collecte_mohammed.csv
2026-04-30 19:12:13.649309,Marrakech,31.6295,-7.9811,22.98,,53.0,1014.0,1.03,,,,,scattered clouds,2.0,,,0.84,92.85,,4.36,10.33,,raw_collecte_mohammed.csv
2026-04-30 19:12:13.649309,Rabat,34.0209,-6.8416,19.37,,68.0,1017.0,3.09,,,,,scattered clouds,2.0,,,2.49,92.65,,3.26,6.03,,raw_collecte_mohammed.csv
2026-04-30 20:12:23.159074,Agadir,30.4278,-9.5981,20.06,,71.0,1016.0,3.74,,,,,clear sky,2.0,,,0.2,95.72,,1.2,3.44,,raw_collecte_mohammed.csv
2026-04-30 20:12:23.159074,Tanger,35.7595,-5.834,17.74,,72.0,1017.0,3.09,,,,,clear sky,3.0,,,1.32,106.19,,2.35,5.94,,raw_collecte_mohammed.csv
2026-04-30 20:12:23.159074,Marrakech,31.6295,-7.9811,22.98,,53.0,1015.0,2.57,,,,,scattered clouds,2.0,,,1.23,86.73,,4.49,10.53,,raw_collecte_mohammed.csv
2026-04-30 20:12:23.159074,Rabat,34.0209,-6.8416,17.37,,77.0,1018.0,2.57,,,,,scattered clouds,2.0,,,2.97,90.64,,2.85,5.47,,raw_collecte_mohammed.csv
2026-04-30 21:12:32.755292,Agadir,30.4278,-9.5981,18.06,,78.0,1017.0,2.9,,,,,scattered clouds,2.0,,,0.2,96.06,,1.22,3.58,,raw_collecte_mohammed.csv
2026-04-30 21:12:32.755292,Tanger,35.7595,-5.834,16.74,,77.0,1018.0,2.06,,,,,clear sky,3.0,,,1.73,101.6,,2.38,6.04,,raw_collecte_mohammed.csv
2026-04-30 21:12:32.755292,Marrakech,31.6295,-7.9811,22.98,,53.0,1017.0,2.06,,,,,scattered clouds,2.0,,,1.53,82.56,,4.48,10.65,,raw_collecte_mohammed.csv
2026-04-30 21:12:32.755292,Rabat,34.0209,-6.8416,17.37,,77.0,1019.0,2.57,,,,,scattered clouds,2.0,,,3.31,88.6,,2.7,5.34,,raw_collecte_mohammed.csv
2026-04-30 22:12:48.110970,Agadir,30.4278,-9.5981,17.06,,80.0,1018.0,1.16,,,,,broken clouds,2.0,,,0.19,96.86,,1.23,3.71,,raw_collecte_mohammed.csv
2026-04-30 22:12:48.110970,Tanger,35.7595,-5.834,15.74,,82.0,1019.0,1.54,,,,,few clouds,2.0,,,1.94,99.27,,2.41,6.14,,raw_collecte_mohammed.csv
2026-04-30 22:12:48.110970,Marrakech,31.6295,-7.9811,21.02,,60.0,1018.0,3.6,,,,,scattered clouds,2.0,,,1.68,80.12,,4.41,10.7,,raw_collecte_mohammed.csv
2026-04-30 22:12:48.110970,Rabat,34.0209,-6.8416,15.37,,88.0,1019.0,0.0,,,,,scattered clouds,2.0,,,3.38,87.14,,2.69,5.44,,raw_collecte_mohammed.csv
2026-04-30 23:12:57.581484,Agadir,30.4278,-9.5981,17.06,,82.0,1018.0,1.17,,,,,broken clouds,2.0,,,0.18,96.93,,1.25,3.94,,raw_collecte_mohammed.csv
2026-04-30 23:12:57.581484,Tanger,35.7595,-5.834,15.74,,82.0,1019.0,1.54,,,,,few clouds,2.0,,,2.14,97.55,,2.45,6.24,,raw_collecte_mohammed.csv
2026-04-30 23:12:57.581484,Marrakech,31.6295,-7.9811,18.98,,63.0,1018.0,2.57,,,,,scattered clouds,2.0,,,1.75,77.75,,4.31,10.67,,raw_collecte_mohammed.csv
2026-04-30 23:12:57.581484,Rabat,34.0209,-6.8416,12.37,,94.0,1020.0,0.0,,,,,scattered clouds,2.0,,,3.5,83.6,,2.77,5.65,,raw_collecte_mohammed.csv
2026-05-01 00:17:03.281703,Agadir,30.4278,-9.5981,17.06,,84.0,1018.0,2.59,,,,,broken clouds,2.0,,,0.17,97.2,,1.29,4.21,,raw_collecte_mohammed.csv
2026-05-01 00:17:03.281703,Tanger,35.7595,-5.834,13.74,,82.0,1019.0,1.03,,,,,clear sky,2.0,,,2.18,95.73,,2.47,6.3,,raw_collecte_mohammed.csv
2026-05-01 00:17:03.281703,Marrakech,31.6295,-7.9811,16.98,,72.0,1018.0,2.06,,,,,scattered clouds,2.0,,,1.77,76.71,,4.32,10.77,,raw_collecte_mohammed.csv
2026-05-01 00:17:03.281703,Rabat,34.0209,-6.8416,11.37,,100.0,1019.0,0.0,,,,,scattered clouds,2.0,,,3.67,79.88,,2.96,6.03,,raw_collecte_mohammed.csv
2026-05-01 01:17:13.598305,Agadir,30.4278,-9.5981,17.06,,84.0,1018.0,3.54,,,,,broken clouds,2.0,,,0.16,97.23,,1.31,4.4,,raw_collecte_mohammed.csv
2026-05-01 01:17:13.598305,Tanger,35.7595,-5.834,13.74,,88.0,1019.0,1.03,,,,,scattered clouds,2.0,,,1.99,93.9,,2.47,6.29,,raw_collecte_mohammed.csv
2026-05-01 01:17:13.598305,Marrakech,31.6295,-7.9811,15.98,,77.0,1018.0,3.6,,,,,scattered clouds,2.0,,,1.67,76.42,,4.38,10.86,,raw_collecte_mohammed.csv
2026-05-01 01:17:13.598305,Rabat,34.0209,-6.8416,10.37,,100.0,1019.0,0.0,,,,,scattered clouds,2.0,,,3.55,77.28,,3.19,6.49,,raw_collecte_mohammed.csv
2026-05-01 02:17:24.183428,Agadir,30.4278,-9.5981,17.06,,84.0,1018.0,4.19,,,,,overcast clouds,2.0,,,0.16,97.0,,1.35,4.55,,raw_collecte_mohammed.csv
2026-05-01 02:17:24.183428,Tanger,35.7595,-5.834,12.74,,88.0,1019.0,0.51,,,,,overcast clouds,2.0,,,1.76,91.5,,2.44,6.21,,raw_collecte_mohammed.csv
2026-05-01 02:17:24.183428,Marrakech,31.6295,-7.9811,15.98,,77.0,1018.0,3.6,,,,,scattered clouds,2.0,,,1.54,75.78,,4.51,10.87,,raw_collecte_mohammed.csv
2026-05-01 02:17:24.183428,Rabat,34.0209,-6.8416,10.37,,100.0,1019.0,0.0,,,,,scattered clouds,2.0,,,3.27,74.71,,3.42,6.93,,raw_collecte_mohammed.csv
2026-05-01 03:17:33.937870,Agadir,30.4278,-9.5981,16.06,,85.0,1017.0,3.78,,,,,overcast clouds,2.0,,,0.16,96.03,,1.44,4.84,,raw_collecte_mohammed.csv
2026-05-01 03:17:33.937870,Tanger,35.7595,-5.834,12.74,,88.0,1019.0,0.51,,,,,overcast clouds,2.0,,,1.56,88.67,,2.41,6.13,,raw_collecte_mohammed.csv
2026-05-01 03:17:33.937870,Marrakech,31.6295,-7.9811,13.97,,82.0,1018.0,2.06,,,,,scattered clouds,2.0,,,1.42,74.43,,4.67,10.9,,raw_collecte_mohammed.csv
2026-05-01 03:17:33.937870,Rabat,34.0209,-6.8416,10.37,,93.0,1019.0,0.0,,,,,scattered clouds,2.0,,,3.02,72.03,,3.65,7.35,,raw_collecte_mohammed.csv
