Model,MAE,RMSE,R2
Linear Regression,1.0203596546040405,1.2247837300804059,0.568623006673511
Decision Tree Regressor,0.8923333333333334,1.3989659446483012,0.43720212768609656
Random Forest Regressor,0.7315130952380953,1.1236645469284015,0.6369123150362657
