Model,Feature set,MAE,RMSE,R2
Linear Regression,Complet (avec pm10/aqi/no2/o3),1.0203596546040417,1.2247837300804059,0.568623006673511
Linear Regression,Meteo seule (sans pollution),3.2187091890451245,3.8429404847755957,-3.246835892708811
Random Forest,Complet (avec pm10/aqi/no2/o3),0.7331361904761904,1.1308401869743536,0.6322602052157951
Random Forest,Meteo seule (sans pollution),1.5020169846938773,1.986829556811265,-0.1351660294406225
