round,mae,rmse,r2
0,3.400547619047619,3.878296232453971,-3.32533867603387
1,2.461166678160671,2.734269903308033,-1.1499131998134215
2,1.78770125873779,2.026370715755762,-0.18079896305401721
3,1.3656973176555853,1.601607570887055,0.2623499298301515
4,1.1465015083060144,1.362374490358758,0.4662582586788645
5,1.0271894838070155,1.237154702646248,0.5598647192440924
6,0.9525895046737253,1.1752728307649034,0.6027942242308809
7,0.9035092825841433,1.1451809325046736,0.6228740835568909
8,0.8720739488115412,1.1296643631503962,0.6330245438340061
9,0.8504557359806924,1.1202429273131318,0.6391201918262193
10,0.8347984047680768,1.1130831215212085,0.6437184307741919
11,0.8223802892967859,1.1066221753209609,0.6478425347401415
12,0.8123026245289268,1.1003348168759892,0.6518327860815631
13,0.8038864946688982,1.0941318542315388,0.6557471961243163
14,0.7968740812880694,1.088080706272202,0.6595444793017278
15,0.791028279366409,1.0822832576869674,0.663162804841329
