city,timestamp,temperature,humidity,pressure,wind_speed,clouds,visibility,weather_main,weather_desc,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
Fes,2026-05-01 14:49:31,26.14,50,1015,3.6,40,10000,Clouds,scattered clouds,2,2.94,4.11,95.41,0.26,91.77,0.26,0.26
Casablanca,2026-05-01 15:49:33,20.18,64,1018,4.12,0,10000,Clear,clear sky,3,8.14,13.88,103.41,0.97,114.06,7.28,0
Tanger,2026-05-01 15:49:34,20.64,60,1018,5.66,75,10000,Clouds,broken clouds,3,6.67,10.26,103.87,1.1,112.21,5.02,0
Karia Ba Mohamed,2026-05-01 15:49:36,27.38,40,1015,3.64,43,10000,Clouds,scattered clouds,2,3.9,6.11,98.89,0.38,95.52,0.62,0.24
Fes,2026-05-01 15:49:37,26.14,47,1014,2.57,40,10000,Clouds,scattered clouds,2,3.17,4.55,95.73,0.32,93.33,0.34,0.26
Casablanca,2026-05-01 16:49:39,20.19,64,1018,4.12,0,10000,Clear,clear sky,3,7.66,13.5,104.53,1.27,113.84,7.89,0
Tanger,2026-05-01 16:49:40,20.64,64,1018,4.63,75,10000,Clouds,broken clouds,3,6.04,9.68,104.77,1.59,111.53,5.07,0
Karia Ba Mohamed,2026-05-01 16:49:42,26.78,42,1015,4.3,54,10000,Clouds,broken clouds,2,3.92,6.31,99,0.5,96.7,0.71,0.24
Fes,2026-05-01 16:49:43,26.14,47,1015,2.06,40,10000,Clouds,scattered clouds,2,3.55,5.21,96.19,0.46,94.04,0.44,0.29
Casablanca,2026-05-01 17:49:45,19.13,68,1018,4.12,0,10000,Clear,clear sky,3,6.75,12.61,106.45,1.67,111.81,7.75,0
Tanger,2026-05-01 17:49:47,19.64,68,1018,3.6,0,10000,Clear,clear sky,3,5.08,8.65,105.84,2.14,107.52,4.91,0
Karia Ba Mohamed,2026-05-01 17:49:48,24.84,50,1015,5.41,62,10000,Clouds,broken clouds,2,3.92,6.5,99.53,0.66,96.78,0.81,0.26
