city,timestamp,temperature,humidity,pressure,wind_speed,clouds,visibility,weather_main,weather_desc,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
Karia Ba Mohamed,2026-05-05 13:06:21,21.71,40,1015,3.56,100,10000,Clouds,overcast clouds,2,2.87,5.66,99.68,0.24,86.14,0.56,0.1
Fes,2026-05-05 13:06:24,20.14,55,1014,3.09,40,10000,Clouds,scattered clouds,2,2.87,5.27,96.32,0.15,79.02,0.45,0.09
Casablanca,2026-05-05 14:48:56,20.19,49,1015,3.6,75,10000,Clouds,broken clouds,3,4.81,9.24,106.34,0.55,122.27,5.47,0
Tanger,2026-05-05 14:48:58,18.64,55,1015,5.66,40,10000,Clouds,scattered clouds,3,4.04,6.77,107.16,0.69,115.31,4.01,0
Karia Ba Mohamed,2026-05-05 14:49:00,23.33,35,1013,4.4,100,10000,Clouds,overcast clouds,2,2.52,4.77,97.79,0.27,87.81,0.55,0.1
Fes,2026-05-05 14:49:01,22.14,49,1012,4.12,40,10000,Clouds,scattered clouds,2,2.09,3.69,94.44,0.22,79.66,0.3,0.11
Casablanca,2026-05-05 15:49:03,19.13,48,1015,4.12,75,10000,Clouds,broken clouds,3,4.55,8.97,106.71,0.7,121.95,5.84,0
Tanger,2026-05-05 15:49:04,18.64,52,1014,6.17,40,10000,Clouds,scattered clouds,3,3.73,6.48,107.49,0.91,115.34,4.03,0
Karia Ba Mohamed,2026-05-05 15:49:05,23.45,34,1012,4.43,96,10000,Clouds,overcast clouds,2,2.73,5.22,98.89,0.36,90.43,0.66,0.12
Fes,2026-05-05 15:49:07,22.14,49,1012,4.63,40,10000,Clouds,scattered clouds,2,2.24,4.01,95.26,0.29,81.79,0.31,0.12
Casablanca,2026-05-05 16:49:09,19.13,52,1015,3.6,40,10000,Clouds,scattered clouds,3,4.03,8.62,107.71,0.91,120.27,6.04,0
Tanger,2026-05-05 16:49:10,17.64,55,1014,5.14,75,10000,Clouds,broken clouds,3,3.42,6.26,108.71,1.32,113.59,4.06,0.03
Karia Ba Mohamed,2026-05-05 16:49:12,22.78,37,1012,5.33,97,10000,Clouds,overcast clouds,2,2.98,5.76,99.97,0.51,92.85,0.84,0.15
Fes,2026-05-05 16:49:13,21.14,52,1012,4.63,40,10000,Clouds,scattered clouds,2,2.46,4.45,96.2,0.37,84.29,0.39,0.14
Casablanca,2026-05-05 17:49:15,18.65,53,1015,4.12,40,10000,Clouds,scattered clouds,3,3.4,8.07,109.24,1.22,117.21,5.95,0
Tanger,2026-05-05 17:49:17,17.64,48,1014,5.66,75,10000,Clouds,broken clouds,3,2.91,5.73,110.54,1.81,110.64,3.99,0.1
Karia Ba Mohamed,2026-05-05 17:49:18,20.49,49,1013,7.27,98,10000,Clouds,overcast clouds,2,3.12,6.12,101.13,0.67,94.51,1.03,0.18
Fes,2026-05-05 17:49:20,20.14,52,1012,4.63,75,10000,Clouds,broken clouds,2,2.61,4.82,97.38,0.43,86.94,0.52,0.15
Casablanca,2026-05-05 18:49:21,18.19,55,1016,4.12,40,10000,Clouds,scattered clouds,3,2.8,7.54,109.74,1.71,111.43,5.7,0.03
Tanger,2026-05-05 18:49:23,17.64,52,1015,4.12,75,10000,Clouds,broken clouds,3,2.38,5.09,111.3,2.44,105.31,3.89,0.19
Karia Ba Mohamed,2026-05-05 18:49:25,18.07,53,1014,5.84,100,10000,Clouds,overcast clouds,2,3.15,6.16,101.26,1.04,91.18,1.07,0.33
Fes,2026-05-05 18:49:28,19.14,52,1014,3.09,75,10000,Clouds,broken clouds,2,2.8,5.16,97.48,0.81,83.76,0.62,0.35
Casablanca,2026-05-05 19:49:30,18.07,63,1016,3.09,40,10000,Clouds,scattered clouds,3,2.42,7.49,111.83,2.1,106.73,5.63,0.12
Tanger,2026-05-05 19:49:32,16.64,59,1015,4.63,0,10000,Clear,clear sky,3,2.09,4.76,113.17,2.74,101.34,3.85,0.28
Karia Ba Mohamed,2026-05-05 19:49:34,16.41,60,1014,4.62,98,10000,Clouds,overcast clouds,2,3.2,6.18,102.65,1.46,86.35,0.97,0.53
Fes,2026-05-05 19:49:36,16.14,67,1015,3.6,75,10000,Clouds,broken clouds,2,3.01,5.53,98.65,1.31,78.43,0.62,0.62
Casablanca,2026-05-05 20:49:37,17.02,67,1016,3.09,66,10000,Clouds,broken clouds,3,2.26,7.58,113.67,2.21,103.13,5.52,0.2
Tanger,2026-05-05 20:49:39,16.64,63,1015,3.6,0,10000,Clear,clear sky,2,1.99,4.67,114.78,2.73,98.83,3.78,0.33
Karia Ba Mohamed,2026-05-05 20:49:41,14.95,66,1015,2.89,94,10000,Clouds,overcast clouds,2,3.22,6.2,104.14,1.75,82.82,0.89,0.61
Fes,2026-05-05 20:49:43,15.14,77,1015,4.12,40,10000,Clouds,scattered clouds,2,3.11,5.75,99.74,1.66,74.29,0.59,0.73
Casablanca,2026-05-06 10:30:40,20.19,52,1013,2.06,40,10000,Clouds,scattered clouds,3,4.41,11.51,111.32,0.79,111.66,5.19,0
Tanger,2026-05-06 10:30:41,18.64,68,1012,4.63,75,10000,Clouds,broken clouds,3,4.65,8.65,110.52,1.01,109.62,4.03,0
Karia Ba Mohamed,2026-05-06 10:30:42,20.36,43,1012,2.54,70,10000,Clouds,broken clouds,2,3.33,6.48,100.38,0.33,95.73,0.92,0.25
Fes,2026-05-06 10:30:44,17.14,63,1012,1.54,75,10000,Clouds,broken clouds,2,2.69,5.14,96.08,0.2,87.75,0.71,0.22
Casablanca,2026-05-06 11:30:45,20.19,49,1013,3.09,40,10000,Clouds,scattered clouds,3,4.41,11.51,111.32,0.79,111.66,5.19,0
Tanger,2026-05-06 11:30:47,18.64,72,1012,4.12,75,10000,Clouds,broken clouds,3,5.16,9.3,109.38,0.73,113.21,4.18,0
Karia Ba Mohamed,2026-05-06 11:30:48,21.51,41,1011,3.27,76,10000,Clouds,broken clouds,2,3.11,5.97,99.17,0.26,96.33,0.83,0.21
Fes,2026-05-06 11:30:50,18.14,55,1011,1.54,75,10000,Clouds,broken clouds,2,2.37,4.52,94.68,0.18,86.94,0.6,0.19
Casablanca,2026-05-06 12:30:51,20.96,49,1012,3.09,40,10000,Clouds,scattered clouds,3,5.09,12.4,109.96,0.63,114.68,5.85,0
Tanger,2026-05-06 12:30:53,19.64,68,1012,4.12,40,10000,Clouds,scattered clouds,3,4.97,8.99,109.99,0.64,114.93,4.05,0
Karia Ba Mohamed,2026-05-06 12:30:54,22.17,40,1011,3.7,100,10000,Clouds,overcast clouds,2,2.63,5.07,98.93,0.27,94.76,0.7,0.16
Fes,2026-05-06 12:30:56,20.14,52,1011,3.09,75,10000,Clouds,broken clouds,2,1.85,3.55,94.2,0.19,84.54,0.46,0.15
Casablanca,2026-05-06 13:30:57,20.48,50,1013,3.6,40,10000,Clouds,scattered clouds,3,3.76,9.34,109.52,0.56,113.94,5.2,0
Tanger,2026-05-06 13:30:59,19.64,64,1012,4.63,40,10000,Clouds,scattered clouds,3,3.87,7.37,110.13,0.59,113.95,3.3,0
Karia Ba Mohamed,2026-05-06 13:31:00,23.17,38,1010,3.94,92,10000,Clouds,overcast clouds,2,2.83,5.38,99.64,0.26,94.96,0.77,0.11
Fes,2026-05-06 13:31:01,20.14,52,1010,3.6,75,10000,Clouds,broken clouds,2,2.46,4.35,95.36,0.2,86.63,0.58,0.09
Casablanca,2026-05-06 14:31:03,21.19,46,1012,3.6,40,10000,Clouds,scattered clouds,3,3.23,8.25,108.93,0.63,111.59,4.82,0
Tanger,2026-05-06 14:31:04,19.64,52,1011,4.63,40,10000,Clouds,scattered clouds,3,3.58,6.86,110.16,0.61,113.02,3.13,0.01
Karia Ba Mohamed,2026-05-06 14:31:06,23.59,35,1009,4.51,84,10000,Clouds,broken clouds,2,2.74,5.05,99.45,0.31,94.08,0.91,0.1
Fes,2026-05-06 14:31:07,21.14,49,1009,3.6,40,10000,Clouds,scattered clouds,2,2.32,3.85,95.27,0.24,86.08,0.6,0.08
Casablanca,2026-05-06 15:31:11,20.18,60,1011,4.12,75,10000,Clouds,broken clouds,3,2.77,7.41,110.56,0.8,109.9,4.59,0
Tanger,2026-05-06 15:31:14,18.64,68,1010,5.66,0,10000,Clear,clear sky,3,3.32,6.45,110.96,0.82,111.95,3.13,0.04
Karia Ba Mohamed,2026-05-06 15:31:20,23.46,33,1009,4.47,81,10000,Clouds,broken clouds,2,2.84,5.32,100.46,0.42,94.67,1.16,0.11
Fes,2026-05-06 15:31:22,21.14,49,1009,4.12,40,10000,Clouds,scattered clouds,2,2.4,3.98,96,0.35,86.98,0.73,0.1
Casablanca,2026-05-06 16:31:24,20.19,60,1011,3.6,75,10000,Clouds,broken clouds,3,2.51,7.02,112.11,1,107.94,4.5,0
Tanger,2026-05-06 16:31:26,19.64,68,1010,5.66,0,10000,Clear,clear sky,3,3.04,6.09,112.44,1.18,109.87,3.16,0.11
Karia Ba Mohamed,2026-05-06 16:31:27,23.01,32,1008,4.1,77,10000,Clouds,broken clouds,2,2.96,5.76,101.51,0.6,95.23,1.46,0.14
Fes,2026-05-06 16:31:29,21.14,49,1008,4.12,40,10000,Clouds,scattered clouds,2,2.57,4.37,97.05,0.53,88.1,0.96,0.13
Casablanca,2026-05-06 17:31:32,19.7,61,1011,3.58,75,10000,Clouds,broken clouds,3,2.38,6.81,113.93,1.25,106.18,4.45,0.03
Tanger,2026-05-06 17:31:34,18.64,68,1010,5.14,0,10000,Clear,clear sky,3,2.68,5.66,113.84,1.58,107.18,3.13,0.21
Karia Ba Mohamed,2026-05-06 17:31:36,21.31,45,1008,5.72,74,10000,Clouds,broken clouds,2,3.05,6.09,102.57,0.74,95.17,1.64,0.18
Fes,2026-05-06 17:31:38,20.14,48,1009,4.12,40,10000,Clouds,scattered clouds,2,2.57,4.37,97.05,0.53,88.1,0.96,0.13
Casablanca,2026-05-06 18:31:40,18.19,68,1011,4.12,75,10000,Clouds,broken clouds,3,2.29,6.74,114.4,1.64,102.56,4.46,0.09
Tanger,2026-05-06 18:31:42,17.64,68,1010,4.63,0,10000,Clear,clear sky,3,2.36,5.13,114.61,2.15,102.76,3.1,0.34
Karia Ba Mohamed,2026-05-06 18:31:43,17.56,63,1010,5.55,40,10000,Clouds,scattered clouds,2,3.07,6.26,103.48,0.9,94.06,1.63,0.27
Fes,2026-05-06 18:31:45,20.14,48,1009,3.09,40,10000,Clouds,scattered clouds,2,2.82,5.07,99.12,0.99,86.06,1.18,0.28
Casablanca,2026-05-06 19:31:46,18.19,68,1011,3.6,75,8000,Clouds,broken clouds,3,2.29,6.74,114.4,1.64,102.56,4.46,0.09
Tanger,2026-05-06 19:31:48,16.64,72,1011,3.6,0,10000,Clear,clear sky,2,2.24,4.79,116.24,2.49,99.26,3.03,0.45
Karia Ba Mohamed,2026-05-06 19:31:49,16.34,65,1010,3.52,83,10000,Clouds,broken clouds,2,3.04,6.26,105.48,1.04,92.75,1.51,0.4
Fes,2026-05-06 19:31:50,19.14,52,1011,2.57,40,10000,Clouds,scattered clouds,2,2.92,5.43,100.63,1.36,83.09,1.14,0.58
Casablanca,2026-05-06 20:31:52,18.07,67,1012,3.09,87,10000,Clouds,overcast clouds,2,2.57,8.11,117.39,1.97,99.94,5.11,0.2
Tanger,2026-05-06 20:31:54,15.64,77,1011,1.54,0,10000,Clear,clear sky,2,2.22,4.59,117.52,2.49,97.52,2.87,0.45
Karia Ba Mohamed,2026-05-06 20:31:56,16.42,64,1011,3.56,85,10000,Clouds,overcast clouds,2,2.9,6.01,107.49,1.15,91.21,1.32,0.46
Fes,2026-05-06 20:31:58,17.14,63,1011,2.57,40,10000,Clouds,scattered clouds,2,2.92,5.43,100.63,1.36,83.09,1.14,0.58
Casablanca,2026-05-06 21:32:00,17.02,72,1012,2.57,87,10000,Clouds,overcast clouds,2,2.81,8.89,116.92,1.98,99.08,5.28,0.2
Tanger,2026-05-06 21:32:02,14.64,82,1011,0.51,0,10000,Clear,clear sky,2,2.21,4.36,117.09,2.44,95.65,2.67,0.39
Karia Ba Mohamed,2026-05-06 21:32:04,15.76,67,1011,2.78,89,10000,Clouds,overcast clouds,2,2.59,5.29,107.1,1.26,86.94,1.05,0.45
Fes,2026-05-06 21:32:06,17.14,72,1011,2.57,40,10000,Clouds,scattered clouds,2,2.77,5.25,102.21,1.86,78.89,0.93,1.12
Casablanca,2026-05-07 10:59:44,19.13,54,1013,2.57,40,8000,Clouds,scattered clouds,3,3.05,8.84,111.42,0.64,114.65,3.81,0
Tanger,2026-05-07 10:59:45,19.64,56,1012,4.12,40,10000,Clouds,scattered clouds,3,3.51,7.12,114.15,2.02,105.04,2.9,0.23
Karia Ba Mohamed,2026-05-07 10:59:47,18.02,61,1013,2.17,91,10000,Clouds,overcast clouds,2,2.89,4.89,106.58,1.91,77.95,0.79,0.45
Fes,2026-05-07 10:59:48,14.14,88,1013,2.57,75,10000,Clouds,broken clouds,2,2.45,4.02,103.6,0.61,82.57,0.73,0.19
Casablanca,2026-05-07 11:59:50,20.19,49,1012,2.57,40,8000,Clouds,scattered clouds,3,3.05,8.6,109.82,0.51,115.2,3.56,0
Tanger,2026-05-07 11:59:51,19.64,60,1012,6.17,40,10000,Clouds,scattered clouds,3,3.84,7.4,112.61,1.44,109.46,2.89,0.17
Karia Ba Mohamed,2026-05-07 11:59:52,18.58,58,1012,2.28,93,10000,Clouds,overcast clouds,2,2.87,4.69,105.64,1.39,81.89,0.77,0.35
Fes,2026-05-07 11:59:54,16.14,77,1013,2.06,75,10000,Clouds,broken clouds,2,2.41,3.76,102.55,0.51,84.05,0.68,0.16
Casablanca,2026-05-07 12:59:55,20.19,45,1012,3.09,40,8000,Clouds,scattered clouds,3,3.21,8.8,109.89,0.46,117.4,3.59,0
Tanger,2026-05-07 12:59:57,19.64,60,1011,4.63,40,10000,Clouds,scattered clouds,3,3.7,6.92,111.69,0.84,114.95,2.53,0.09
Karia Ba Mohamed,2026-05-07 12:59:58,19.75,53,1012,2.57,98,10000,Clouds,overcast clouds,2,2.72,4.34,106,0.58,91.07,0.79,0.15
Fes,2026-05-07 12:59:59,18.14,67,1012,2.06,75,10000,Clouds,broken clouds,2,2.28,3.44,102.69,0.36,86.52,0.6,0.13
Casablanca,2026-05-07 14:00:01,20.19,42,1011,3.6,40,8000,Clouds,scattered clouds,3,3.01,7.91,108.6,0.45,116.24,3.38,0
Tanger,2026-05-07 14:00:02,19.64,60,1011,5.14,40,10000,Clouds,scattered clouds,3,2.93,5.33,109.2,0.63,114.22,2.51,0.04
Karia Ba Mohamed,2026-05-07 14:00:04,19.72,54,1011,1.39,92,10000,Clouds,overcast clouds,2,2.14,3.49,103.88,0.32,96.73,0.73,0.1
Fes,2026-05-07 14:00:05,17.14,63,1011,2.06,75,10000,Clouds,broken clouds,2,1.9,2.94,101.14,0.21,90.39,0.5,0.1
Casablanca,2026-05-07 15:00:07,20.19,49,1011,3.6,40,8000,Clouds,scattered clouds,3,3.06,7.77,107.71,0.49,116.29,3.62,0
Tanger,2026-05-07 15:00:08,19.64,60,1011,5.66,40,10000,Clouds,scattered clouds,3,3.19,5.61,108.32,0.7,114.22,2.79,0.02
Karia Ba Mohamed,2026-05-07 15:00:10,20.25,51,1010,1.34,86,10000,Clouds,overcast clouds,2,2.07,3.33,102.5,0.3,96.65,0.72,0.09
Fes,2026-05-07 15:00:11,18.14,67,1010,2.06,75,10000,Clouds,broken clouds,2,1.89,2.88,99.83,0.2,90.14,0.49,0.1
Casablanca,2026-05-07 16:00:12,20.19,52,1011,3.6,40,8000,Clouds,scattered clouds,3,3.16,7.8,109.08,0.62,118.59,4.21,0
Tanger,2026-05-07 16:00:14,18.64,63,1010,4.63,40,10000,Clouds,scattered clouds,3,3.44,5.98,109.27,0.92,114.91,3.26,0.03
Karia Ba Mohamed,2026-05-07 16:00:15,20.51,50,1010,2.48,90,10000,Clouds,overcast clouds,2,2.16,3.47,103.07,0.42,96.77,0.75,0.15
Fes,2026-05-07 16:00:17,19.14,63,1009,1.54,75,10000,Clouds,broken clouds,2,2.01,3.04,100.32,0.28,90.21,0.49,0.16
Casablanca,2026-05-07 17:00:18,19.13,55,1011,3.6,0,10000,Clear,clear sky,3,3.1,7.75,110.91,0.9,117.83,5,0
Tanger,2026-05-07 17:00:20,18.64,59,1011,5.14,40,10000,Clouds,scattered clouds,3,3.57,6.33,111.12,1.38,114.23,3.83,0.05
Karia Ba Mohamed,2026-05-07 17:00:21,20.82,49,1009,2.6,92,10000,Clouds,overcast clouds,2,2.35,3.85,103.11,0.69,94.84,0.8,0.28
Fes,2026-05-07 17:00:23,19.14,59,1009,1.54,75,10000,Clouds,broken clouds,2,2.21,3.37,100.37,0.47,88.76,0.51,0.28
Casablanca,2026-05-07 18:00:24,19.13,55,1011,3.6,0,10000,Clear,clear sky,3,2.75,7.31,112.75,1.32,113.69,5.49,0
Tanger,2026-05-07 18:00:26,18.64,59,1011,4.63,0,10000,Clear,clear sky,3,3.25,6.13,113.32,1.93,112.07,4.07,0.09
Karia Ba Mohamed,2026-05-07 18:00:27,20.46,51,1009,1.76,94,10000,Clouds,overcast clouds,2,2.47,4.15,103.14,0.96,92.63,0.87,0.39
Fes,2026-05-07 18:00:29,19.14,59,1009,1.54,75,10000,Clouds,broken clouds,2,2.36,3.64,100.58,0.68,87.1,0.53,0.4
Casablanca,2026-05-07 19:00:30,18.65,55,1012,3.58,75,10000,Clouds,broken clouds,3,2.35,6.88,113.02,1.76,106.79,5.52,0
Tanger,2026-05-07 19:00:32,16.64,67,1011,3.09,0,10000,Clear,clear sky,3,2.71,5.57,114.47,2.49,107.24,4,0.17
Karia Ba Mohamed,2026-05-07 19:00:33,18.34,58,1010,0.96,100,10000,Clouds,overcast clouds,2,2.52,4.39,103.44,1.37,87.47,0.89,0.59
Fes,2026-05-07 19:00:34,17.14,72,1010,1.03,40,10000,Clouds,scattered clouds,2,2.46,3.83,100.73,1.16,80.87,0.5,0.65
Casablanca,2026-05-07 20:00:36,17.12,61,1012,3.57,100,10000,Clouds,overcast clouds,3,2.14,6.97,114.6,1.98,102.76,5.43,0.06
Tanger,2026-05-07 20:00:37,16.64,67,1012,2.57,75,10000,Clouds,broken clouds,3,2.34,5.2,116.1,2.83,103.16,3.93,0.27
Karia Ba Mohamed,2026-05-07 20:00:39,16.45,61,1011,3.25,86,10000,Clouds,overcast clouds,2,2.55,4.63,104.25,1.7,81.35,0.88,0.82
Fes,2026-05-07 20:00:40,17.14,77,1011,1.03,40,10000,Clouds,scattered clouds,2,2.55,4.01,100.98,1.66,72.55,0.44,0.98
Casablanca,2026-05-07 21:00:41,17.02,63,1013,2.06,100,10000,Clouds,overcast clouds,3,2.08,7.25,116.45,2,100.96,5.51,0.11
Tanger,2026-05-07 21:00:43,16.64,67,1013,2.06,75,10000,Clouds,broken clouds,3,2.12,5.04,117.39,2.92,100.1,3.94,0.32
Karia Ba Mohamed,2026-05-07 21:00:44,14.35,72,1012,3.31,91,10000,Clouds,overcast clouds,2,2.56,4.89,105.32,1.9,77.8,0.87,1
Fes,2026-05-07 21:00:46,16.14,82,1012,0.51,40,10000,Clouds,scattered clouds,2,2.59,4.2,101.22,1.97,67.47,0.42,1.22
Casablanca,2026-05-11 08:27:39,19.13,68,1018,2.06,0,10000,Clear,clear sky,1,4.55,17.79,110.16,2.87,39.08,0.38,0.39
Tanger,2026-05-11 08:27:40,17.64,72,1018,2.57,75,10000,Clouds,broken clouds,1,4.23,10.15,113.14,6.53,48.38,1.81,2.74
Karia Ba Mohamed,2026-05-11 08:27:42,17.73,75,1018,0.34,50,10000,Clouds,scattered clouds,1,2.79,6.19,94.24,2.51,27.38,0.18,0.63
Fes,2026-05-11 08:27:43,16.14,82,1019,2.06,75,10000,Clouds,broken clouds,1,2.86,6.79,93.4,1.74,37.11,0.14,0.87
Casablanca,2026-05-11 09:27:43,20.19,56,1018,2.06,20,10000,Clouds,few clouds,2,5.05,20.27,110.02,2.67,41.57,0.51,0.64
Tanger,2026-05-11 09:27:44,18.64,68,1018,2.57,75,10000,Clouds,broken clouds,1,4.63,11.25,112.99,6,51.11,1.86,2.66
Karia Ba Mohamed,2026-05-11 09:27:46,19.48,64,1018,0.7,54,10000,Clouds,broken clouds,1,3,6.91,94.28,1.97,35.51,0.23,0.7
Fes,2026-05-11 09:27:47,18.14,72,1019,1.03,75,10000,Clouds,broken clouds,1,3.08,7.6,93.62,1.16,47.25,0.2,0.81
Casablanca,2026-05-11 13:48:25,20.74,52,1017,4.12,0,10000,Clear,clear sky,2,4.26,12.85,100.39,0.29,96.72,2.76,0
Tanger,2026-05-11 13:48:27,20.64,68,1017,5.14,40,10000,Clouds,scattered clouds,3,5.96,10.15,100.15,0.54,104.34,4.49,0
Karia Ba Mohamed,2026-05-11 13:48:28,25.4,38,1015,2.61,1,10000,Clear,clear sky,2,4.1,8.91,92.68,0.2,89.6,0.56,0.04
Fes,2026-05-11 13:48:30,25.14,38,1015,2.57,20,10000,Clouds,few clouds,2,3.58,8.01,90.91,0.16,88.92,0.44,0.09
Casablanca,2026-05-11 14:48:32,20.18,60,1016,4.63,0,10000,Clear,clear sky,2,4.1,10.77,99.26,0.34,98.15,3.3,0
Tanger,2026-05-11 14:48:34,20.64,64,1016,4.12,40,10000,Clouds,scattered clouds,3,6.3,10.09,99.66,0.62,106.78,4.91,0
Karia Ba Mohamed,2026-05-11 14:48:35,26.19,36,1014,3.59,1,10000,Clear,clear sky,2,4.18,8.75,91.58,0.23,90.01,0.61,0.04
Fes,2026-05-11 14:48:37,25.14,38,1014,2.06,20,10000,Clouds,few clouds,2,3.65,7.97,89.85,0.18,88.43,0.43,0.09
Casablanca,2026-05-11 15:48:39,20.18,56,1016,4.63,0,10000,Clear,clear sky,2,3.66,8.76,100.09,0.43,99.31,3.57,0
Tanger,2026-05-11 15:48:40,20.64,64,1016,4.63,40,10000,Clouds,scattered clouds,3,6.76,10.19,101.36,0.81,109.86,5.61,0
Karia Ba Mohamed,2026-05-11 15:48:42,26.34,35,1014,3.73,1,10000,Clear,clear sky,2,4.45,8.89,92.13,0.31,91.5,0.72,0.06
Fes,2026-05-11 15:48:44,26.14,38,1013,2.57,20,10000,Clouds,few clouds,2,3.79,8.07,90.19,0.25,88.78,0.42,0.13
Casablanca,2026-05-11 16:48:46,20.19,60,1017,3.6,0,10000,Clear,clear sky,2,2.27,5.95,101.99,0.52,98.79,3.28,0
Tanger,2026-05-11 16:48:49,19.64,64,1016,4.63,40,10000,Clouds,scattered clouds,3,4.86,7.59,103.77,1.09,107.68,5.07,0
Karia Ba Mohamed,2026-05-11 16:48:52,26.08,34,1013,3.41,2,10000,Clear,clear sky,2,4.21,7.89,92.77,0.47,90.65,0.95,0.19
Fes,2026-05-11 16:48:56,26.14,38,1013,2.57,20,10000,Clouds,few clouds,2,3.28,6.96,90.73,0.4,86.46,0.34,0.29
Casablanca,2026-05-11 18:03:32,20.19,60,1017,3.09,0,10000,Clear,clear sky,2,1.93,5.55,103.72,0.66,98.08,3.28,0
Tanger,2026-05-11 18:03:34,19.64,56,1016,3.09,40,10000,Clouds,scattered clouds,3,4.5,7.08,106.23,1.52,106.03,5.05,0
Karia Ba Mohamed,2026-05-11 18:03:36,24.86,39,1014,4.68,2,10000,Clear,clear sky,2,4.55,8.16,93.21,0.64,89.93,1.16,0.25
Fes,2026-05-11 18:03:37,24.14,43,1013,3.6,20,10000,Clouds,few clouds,2,3.6,7.3,90.55,0.58,84.95,0.4,0.37
Casablanca,2026-05-11 19:03:39,20.19,52,1017,2.57,0,10000,Clear,clear sky,2,1.72,5.63,104.47,1.02,94.49,3.31,0.07
Tanger,2026-05-11 19:03:41,18.64,59,1016,2.57,40,10000,Clouds,scattered clouds,2,3.96,6.51,107.56,2.44,99.98,4.74,0.07
Karia Ba Mohamed,2026-05-11 19:03:43,20.38,56,1015,6.73,5,10000,Clear,clear sky,2,4.78,8.29,94.15,0.93,88.19,1.32,0.29
Fes,2026-05-11 19:03:45,23.14,49,1015,3.09,0,10000,Clear,clear sky,2,4.04,7.71,90.92,0.88,82.66,0.55,0.46
Casablanca,2026-05-11 20:03:48,18.56,61,1019,1.54,0,10000,Clear,clear sky,2,1.67,6.21,106.59,1.4,90.69,3.29,0.22
Tanger,2026-05-11 20:03:49,17.64,68,1017,1.54,20,10000,Clouds,few clouds,2,3.53,6.22,110.19,3.32,94.15,4.4,0.28
Karia Ba Mohamed,2026-05-11 20:03:51,18.17,59,1017,5.84,23,10000,Clouds,few clouds,2,4.95,8.32,96.41,1.16,86.8,1.39,0.31
Fes,2026-05-11 20:03:53,20.14,59,1017,2.06,0,10000,Clear,clear sky,2,4.53,8.11,92.17,1.12,80.5,0.71,0.56
Casablanca,2026-05-11 21:03:54,18.07,63,1019,1.54,1,10000,Clear,clear sky,2,1.7,6.88,109,1.57,87.97,3.22,0.32
Tanger,2026-05-11 21:03:56,16.64,67,1018,0.51,20,10000,Clouds,few clouds,2,3.22,6.14,112.58,3.68,90.07,4.15,0.43
Karia Ba Mohamed,2026-05-11 21:03:57,16.89,64,1019,4.01,23,10000,Clouds,few clouds,2,5.04,8.24,99.03,1.32,85.88,1.43,0.34
Fes,2026-05-11 21:03:58,17.14,72,1018,3.09,0,10000,Clear,clear sky,2,4.96,8.39,93.99,1.28,79.26,0.86,0.62
Casablanca,2026-05-12 09:52:09,20.19,56,1022,2.06,40,10000,Clouds,scattered clouds,2,2.53,11.12,106.7,0.44,89.64,1.34,0.04
Tanger,2026-05-12 09:52:11,19.64,60,1022,6.69,40,10000,Clouds,scattered clouds,2,3.87,9.21,107.26,1.44,90.22,4.8,0.01
Karia Ba Mohamed,2026-05-12 09:52:12,21.16,52,1022,2.02,26,10000,Clouds,scattered clouds,2,4.34,7.4,98.47,0.41,89.12,1.79,0
Fes,2026-05-12 09:52:14,19.14,59,1022,2.57,40,10000,Clouds,scattered clouds,2,4.43,7.48,96.41,0.38,86.32,1.44,0
Casablanca,2026-05-12 10:52:16,20.96,60,1022,3.09,40,10000,Clouds,scattered clouds,2,1.95,8.82,104.59,0.23,93.49,0.83,0.05
Tanger,2026-05-12 10:52:17,19.64,64,1022,5.14,40,10000,Clouds,scattered clouds,2,2.98,6.78,104.26,0.67,96.44,3.33,0
Karia Ba Mohamed,2026-05-12 10:52:21,21.67,46,1021,2.61,21,10000,Clouds,few clouds,2,3.61,6.73,96.93,0.22,91.62,1.49,0
Fes,2026-05-12 10:52:22,20.14,52,1022,4.12,40,10000,Clouds,scattered clouds,2,4.09,7.59,95.5,0.21,88.63,1.32,0
Casablanca,2026-05-12 11:52:24,21.85,53,1021,3.09,40,10000,Clouds,scattered clouds,2,1.94,8.57,103.27,0.21,94.6,0.89,0.05
Tanger,2026-05-12 11:52:25,20.64,60,1021,5.14,40,10000,Clouds,scattered clouds,2,3.07,6.59,102.58,0.49,99.34,3.13,0
Karia Ba Mohamed,2026-05-12 11:52:26,22.87,40,1021,3,18,10000,Clouds,few clouds,2,3.51,6.86,96.14,0.18,91.61,1.37,0
Fes,2026-05-12 11:52:28,22.14,43,1021,4.63,75,10000,Clouds,broken clouds,2,4.06,8.01,94.67,0.15,88.5,1.24,0
Casablanca,2026-05-12 12:52:29,20.74,56,1021,4.12,40,10000,Clouds,scattered clouds,2,2.13,8.54,103.87,0.23,97.33,1.34,0.03
Tanger,2026-05-12 12:52:31,20.64,64,1021,6.17,40,10000,Clouds,scattered clouds,3,3.39,6.8,102.72,0.47,103.61,3.34,0
Karia Ba Mohamed,2026-05-12 12:52:32,23.96,37,1020,3.87,3,10000,Clear,clear sky,2,3.2,6.31,96.42,0.17,94.07,1.19,0
Fes,2026-05-12 12:52:34,24.14,35,1020,5.14,75,10000,Clouds,broken clouds,2,3.33,6.9,94.42,0.13,91.26,0.95,0
