Modele,MAE,RMSE,R2,Categorie
Linear Regression,1.0203596546040403,1.224783730080406,0.568623006673511,Modele centralise
Decision Tree Regressor,0.9671904761904764,1.4740176712774156,0.3751963727912732,Modele centralise
Random Forest Regressor,0.7331361904761904,1.1308401869743536,0.6322602052157951,Modele centralise
Centralized Linear Regression,0.931646597265495,1.1342912486766223,0.6300122673993094,Federe vs centralise
"Federated Learning (Flower, FedAvg)",0.791028279366409,1.0822832576869674,0.663162804841329,Federe vs centralise
