Modele,JeuFeatures,MAE,RMSE,R2
Linear Regression,Complet (avec pm10/aqi/no2/o3),1.0203596546040417,1.224783730080406,0.568623006673511
Linear Regression,Meteo seule (sans pollution),3.2187091890451245,3.842940484775596,-3.246835892708811
Random Forest,Complet (avec pm10/aqi/no2/o3),0.7331361904761904,1.1308401869743536,0.6322602052157951
Random Forest,Meteo seule (sans pollution),1.5020169846938771,1.986829556811265,-0.1351660294406225
